Age;Lx-H;Lx-F
0;100000;100000
1;99511;99616
2;99473;99583
3;99446;99562
4;99424;99545
5;99406;99531
6;99390;99519
7;99376;99508
8;99363;99498
9;99350;99488
10;99338;99478
11;99325;99467
12;99312;99456
13;99296;99444
14;99276;99431
15;99250;99415
16;99213;99395
17;99163;99371
18;99097;99342
19;99015;99309
20;98921;99274
21;98820;99239
22;98716;99205
23;98612;99171
24;98509;99137
25;98406;99103
26;98303;99068
27;98198;99033
28;98091;98997
29;97982;98960
30;97870;98921
31;97756;98879
32;97639;98833
33;97517;98782
34;97388;98725
35;97249;98662
36;97100;98593
37;96939;98518
38;96765;98435
39;96576;98343
40;96369;98242
41;96141;98130
42;95887;98007
43;95606;97872
44;95295;97724
45;94952;97563
46;94575;97387
47;94164;97197
48;93720;96993
49;93244;96776
50;92736;96546
51;92196;96304
52;91621;96049
53;91009;95778
54;90358;95489
55;89665;95180
56;88929;94851
57;88151;94501
58;87329;94131
59;86460;93741
60;85538;93329
61;84558;92892
62;83514;92425
63;82399;91923
64;81206;91382
65;79926;90797
66;78552;90164
67;77078;89476
68;75501;88726
69;73816;87907
70;72019;87010
71;70105;86024
72;68070;84941
73;65914;83751
74;63637;82442
75;61239;80998
76;58718;79402
77;56072;77633
78;53303;75671
79;50411;73496
80;47390;71088
81;44234;68423
82;40946;65478
83;37546;62233
84;34072;58680
85;30575;54828
86;27104;50706
87;23707;46362
88;20435;41868
89;17338;37319
90;14464;32821
91;11852;28469
92;9526;24328
93;7498;20444
94;5769;16860
95;4331;13618
96;3166;10750
97;2249;8277
98;1549;6204
99;1032;4516
100;663;3185
101;410;2171
102;244;1426
103;139;900
104;75;544
105;39;314
106;19;172
107;9;89
108;4;44
109;2;20
110;1;9
111;0;4
112;0;1
