Country/Region;Province/State;start_date;end_date
China;Hubei;23/01/2020;08/04/2020
Italy;;09/03/2020;03/04/2020
Spain;;14/03/2020;11/04/2020
Germany;;20/03/2020;03/04/2020
Iran;;;
France;;17/03/2020;01/04/2020
US;;20/03/2020;29/03/2020
US;New York;20/03/2020;29/03/2020
Korea, South;;;
Switzerland;;;
United Kingdom;United Kingdom;23/03/2020;13/04/2020
Netherlands;Netherlands;;
Belgium;;18/03/2020;05/04/2020
Austria;;16/03/2020;13/04/2020
Norway;;;
US;Washington;;
Sweden;;;
US;New Jersey;;
US;California;19/03/2020;29/03/2020
Portugal;;;
Brazil;;17/03/2020;07/04/2020
China;Guangdong;;
Denmark;;11/03/2020;
Malaysia;;18/03/2020;31/03/2020
China;Henan;;
China;Zhejiang;;
Turkey;;;
Czechia;;16/03/2020;01/04/2020
Japan;;;
Israel;;;
US;Illinois;21/03/2020;07/04/2020
US;Michigan;24/03/2020;07/04/2020
China;Hunan;;
China;Anhui;;
China;Jiangxi;;
Ireland;;12/03/2020;29/03/2020
US;Louisiana;;
US;Florida;;
Luxembourg;;;
Ecuador;;;
Pakistan;;;
China;Shandong;;
Cruise Ship;Diamond Princess;;
US;Massachusetts;24/03/2020;07/04/2020
Poland;;13/03/2020;
China;Jiangsu;;
Chile;;19/03/2020;
US;Texas;;
Finland;;;
Greece;;23/03/2020;06/04/2020
US;Georgia;;
Thailand;;;
China;Chongqing;;
Iceland;;;
China;Sichuan;;
Australia;New South Wales;;
Indonesia;;;
China;Beijing;;
Saudi Arabia;;;
US;Pennsylvania;;
US;Tennessee;;
Qatar;;;
China;Heilongjiang;;
US;Colorado;;
Singapore;;;
Romania;;25/03/2020;
Canada;Ontario;;
Canada;British Columbia;;
Slovenia;;;
India;;25/03/2020;15/04/2020
China;Shanghai;;
US;Wisconsin;24/03/2020;24/04/2020
Philippines;;15/03/2020;12/04/2020
Russia;;;
Peru;;;
US;Ohio;;
Bahrain;;;
Egypt;;;
Estonia;;;
China;Hebei;;
China;Hong Kong;;
China;Fujian;;
US;North Carolina;;
Australia;Victoria;;
South Africa;;26/03/2020;16/04/2020
Canada;Alberta;;
Croatia;;;
China;Guangxi;;
Mexico;;;
Lebanon;;15/03/2020;29/03/2020
China;Shaanxi;;
Panama;;;
US;Maryland;;
Iraq;;;
Colombia;;25/03/2020;13/04/2020
Argentina;;19/03/2020;31/03/2020
US;Connecticut;23/03/2020;29/03/2020
Serbia;;;
Australia;Queensland;23/03/2020;
US;Virginia;;
Canada;Quebec;;
US;Mississippi;;
Dominican Republic;;;
Algeria;;;
US;Indiana;;
US;South Carolina;;
Armenia;;;
US;Nevada;20/03/2020;20/04/2020
Kuwait;;;
Bulgaria;;;
Slovakia;;;
US;Utah;;
China;Yunnan;;
US;Minnesota;;
Taiwan*;;;
China;Hainan;;
US;Arkansas;;
US;Oregon;24/03/2020;
San Marino;;;
United Arab Emirates;;;
US;Arizona;;
China;Guizhou;;
Latvia;;;
US;Alabama;;
China;Tianjin;;
China;Gansu;;
Uruguay;;;
Costa Rica;;;
China;Shanxi;;
Lithuania;;16/03/2020;30/03/2020
Hungary;;;
Bosnia and Herzegovina;;;
China;Liaoning;;
Australia;Western Australia;;
Morocco;;19/03/2020;
Denmark;Faroe Islands;11/03/2020;
North Macedonia;;;
Andorra;;;
Vietnam;;;
Jordan;;;
US;District of Columbia;;
Australia;South Australia;;
US;Missouri;;
